epNum,airDate,extra_info,round_name,coord,category,order,value,daily_double,question,answer,correctAttempts,wrongAttempts
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(1, 1)",WORLD GEOGRAPHY,16,"(25,)",False,"This country's counties include Kerry, Kilkenny, and Kildare",Ireland,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(2, 1)",BEST-SELLERS,7,"(25,)",False,This Jacqueline Susann novel is the all-time fictional best seller,Valley of the Dolls,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(3, 1)",SPORTS,2,"(25,)",False,He's won 5 of the 10 last U.S. Open tennis titles,Jimmy Connors,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(4, 1)",LISTS,1,"(25,)",False,Moses received this list on Mt. Sinai,the Ten Commandments,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(5, 1)",WILD WEST,8,"(25,)",False,This was William Bonney's best-known alias,Billy the Kid,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(6, 1)",HERBS AND SPICES,13,"(25,)",False,Reportedly good for lowering blood pressure and repelling vampires,garlic,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(1, 2)",WORLD GEOGRAPHY,22,"(50,)",False,Only nation to cover an entire continent,Australia,1,1
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(2, 2)",BEST-SELLERS,9,"(50,)",False,Hot horror author whose latest book is about haunted '58 Plymouth,Stephen King,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(3, 2)",SPORTS,3,"(50,)",False,"In golf, it's 2 under par for a hole",an eagle,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(4, 2)",LISTS,10,"(50,)",False,He lists the ten worst-dressed,Mr. Blackwell,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(5, 2)",WILD WEST,18,"(50,)",False,This town was the site of the gunfight at the O.K. Corral,Tombstone,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(6, 2)",HERBS AND SPICES,14,"(50,)",False,These dried flower buds are a must with baked ham,cloves,1,1
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(1, 3)",WORLD GEOGRAPHY,23,"(75,)",False,"The Japanese name for Japan, meaning ""source of the sun""",Nihon (or Nippon),1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(2, 3)",BEST-SELLERS,24,"(75,)",False,Recent expose of movie studio executive's way with a check,Indecent Exposure,1,0
Trebek pilot 1,1983-09-18,"Trebek pilot 1. Unaired. ""Personal computer"" set with pull-card game...",Jeopardy,"(3, 3)",SPORTS,4,"(75,)",False,Famous Notre Dame football backfield with apocalyptic nickname,the Four Horsemen,1,0
